name,url,language,description,created_since,updated_since,contributor_count,watchers_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
node,https://github.com/nodejs/node,JavaScript,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,169,0,3601,92302,9,47.2,56,1979,1349,4.1,1704779,0.98829
linux,https://github.com/raspberrypi/linux,C,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,133,0,5000,9435,10,173.3,8,182,102,4.4,14744,0.90934
